timestamps,TP9,AF7,AF8,TP10,Right AUX
1568081285.806,53.223,33.691,25.391,2.441,-45.898
1568081285.810,39.551,33.203,26.367,11.719,-6.348
1568081285.814,12.207,31.738,26.367,52.246,60.059
1568081285.817,17.578,32.227,31.250,53.711,-7.324
1568081285.821,42.969,32.715,34.668,9.766,5.371
1568081285.825,47.852,28.809,35.645,2.930,33.691
1568081285.829,26.855,28.809,34.180,46.875,41.504
1568081285.833,18.555,27.344,29.785,63.477,70.801
1568081285.837,36.621,23.926,24.902,24.902,88.379
1568081285.841,46.387,24.414,24.902,6.836,17.578
1568081285.845,26.367,25.391,26.367,46.387,-17.578
1568081285.849,13.184,28.320,24.902,68.848,-5.859
1568081285.853,31.250,32.227,28.320,33.691,20.020
1568081285.857,48.340,30.273,34.180,-0.488,41.504
1568081285.860,31.738,27.344,31.738,22.949,16.113
1568081285.864,11.230,29.785,30.762,61.035,18.066
1568081285.868,18.066,27.832,32.227,38.574,7.812
1568081285.872,40.039,21.484,28.320,-8.789,35.156
1568081285.876,32.227,20.996,25.879,-1.465,51.270
1568081285.880,6.836,21.484,26.855,41.016,12.207
1568081285.884,13.672,23.926,28.320,43.457,48.340
1568081285.888,38.086,29.785,25.391,3.418,41.992
1568081285.892,44.922,34.668,26.855,-1.465,30.273
1568081285.896,24.414,36.133,35.156,44.922,41.016
1568081285.899,13.184,32.227,35.156,63.477,31.250
1568081285.903,34.180,26.367,33.203,18.066,46.875
1568081285.907,48.340,25.879,36.133,-0.488,15.137
1568081285.911,31.250,28.320,39.551,41.016,-9.766
1568081285.915,24.414,29.297,44.434,72.266,-6.348
1568081285.919,42.969,27.832,44.922,44.922,26.367
1568081285.923,55.176,24.414,38.086,14.160,55.664
1568081285.927,41.992,24.414,35.156,38.574,62.500
1568081285.931,20.996,24.902,33.691,70.801,66.895
1568081285.935,24.414,24.414,33.203,55.664,83.496
1568081285.939,46.875,25.391,33.203,12.207,62.988
1568081285.942,44.434,30.273,37.109,20.996,23.926
1568081285.946,20.020,36.133,42.480,64.453,42.969
1568081285.950,19.043,35.156,40.039,66.406,110.352
1568081285.954,47.852,33.203,36.133,22.949,103.027
1568081285.958,55.664,32.715,37.109,6.836,80.566
1568081285.962,29.785,27.832,38.086,46.387,62.988
1568081285.966,14.160,30.273,34.668,65.918,-6.836
1568081285.970,32.715,35.645,34.180,24.414,7.812
1568081285.974,50.293,34.180,35.645,-2.441,80.566
1568081285.978,35.156,28.809,38.086,34.180,38.574
1568081285.982,17.578,28.809,42.969,69.824,34.180
1568081285.985,27.832,33.691,47.852,42.480,56.152
1568081285.989,50.293,33.691,41.016,5.371,44.922
1568081285.993,43.457,37.598,31.738,24.902,59.570
1568081285.997,16.113,34.180,27.832,65.918,11.230
1568081286.001,20.996,29.297,29.297,60.547,16.602
